emp_id,emp_type,first_name,last_name,birth_date,sex,date_of_join,date_of_resign,,date_of_resign
1,DOC,Ramesh,Patel,11-04-1968,M,04-11-2000,,Present,Present
2,DOC,Suresh,Upadhyay,19-04-1966,M,08-11-2000,,Present,Present
3,DOC,Jalpa,Asthana,24-01-1965,F,03-09-2000,,Present,Present
4,DOC,Jaydeep,Parekh,05-01-1970,M,04-05-2000,,Present,Present
5,DOC,Feny,Gadhiya,25-03-1953,F,07-02-2000,,Present,Present
6,DOC,Shahbaz,Khan,01-09-1964,M,08-01-2000,,Present,Present
7,DOC,Falguni,Pathak,08-11-1962,F,24-08-2001,,Present,Present
8,DOC,Raj,Malhotra,26-10-1958,M,29-06-2002,,Present,Present
9,DOC,Abhishek,Patel,06-01-1974,M,12-06-2000,,Present,Present
10,DOC,Bhakti,Dedania,05-04-1977,F,18-05-2001,,Present,Present
11,DOC,Shanaya,Chaudhary,02-08-1977,F,14-12-2000,,Present,Present
12,DOC,Kuldeep,Gajjar,19-06-1983,M,11-01-2001,,Present,Present
13,DOC,Yash,Shihora,19-07-1968,M,12-09-2002,,Present,Present
14,DOC,Rutvik,Patil,10-01-1961,M,08-10-2002,,Present,Present
15,DOC,Yogesh,Modi,23-03-1969,M,16-03-2003,,Present,Present
16,DOC,Neeta,Singh,13-07-1963,F,25-11-2001,14-03-2010,,14-03-2010
17,DOC,Tarang,Pathak,28-08-1962,M,06-08-2000,,Present,Present
18,DOC,Harish,Chandra,27-04-1974,M,13-07-2011,15-02-2018,,15-02-2018
19,DOC,Jagruti,Nath,01-02-1976,F,28-01-2018,,Present,Present
20,DOC,Payal,Tanna,13-06-1980,F,06-11-2016,,Present,Present
21,DOC,Shailesh,Jadeja,20-04-1976,M,24-02-2009,,Present,Present
22,DOC,Harish,Chandra,05-02-1984,M,12-05-2011,,Present,Present
23,DOC,Shyam,Jadeja,05-10-1973,M,03-05-2013,,Present,Present
24,DOC,Ram,Jadwani,13-09-1963,M,24-03-2016,,Present,Present
25,DOC,Sheila,Yadav,11-12-1977,F,07-11-2013,,Present,Present
26,DOC,Rahul,Khurana,23-09-1982,M,01-03-2015,,Present,Present
27,DOC,Jasmine,Kundani,11-04-1968,F,04-11-2009,30-03-2017,,30-03-2017
28,DOC,Kajal,Tiwari,16-03-1981,F,12-06-2018,,Present,Present
29,DOC,Nayan,Patel,24-05-1966,M,10-04-2015,,Present,Present
30,DOC,Aarav,Duggal,06-01-1974,M,01-06-2017,,Present,Present
31,DOC,Farah,Khanna,24-09-1966,F,15-04-2017,,Present,Present
32,DOC,Shubham,Pandya,05-01-1976,M,09-05-2011,,Present,Present
33,DOC,Hardik,Kohli,27-04-1973,M,01-02-2016,,Present,Present
34,DOC,Rohit,Sharma,17-03-1967,M,12-07-2015,,Present,Present
35,DOC,Mohammad,Shami,13-10-1981,M,13-03-2017,,Present,Present
36,DOC,Shikhar,Dhawan,07-08-1980,M,11-07-2015,,Present,Present
37,DOC,Purvi,Gajjar,11-11-1969,F,07-11-2003,25-05-2018,,25-05-2018
38,DOC,Krina,Savaliya,27-11-1978,F,07-07-2018,,Present,Present
39,DOC,Geeta,Tanna,14-10-1970,F,01-04-2015,,Present,Present
40,DOC,Shivam,Parekh,06-06-1964,M,12-06-2017,,Present,Present
41,DOC,Gayatri ,Deshmukh,11-05-1962,F,02-11-2012,,Present,Present
42,DOC,Hitarth,Pandya,27-09-1969,M,11-07-2014,,Present,Present
43,DOC,Sudesh,Parikh,08-03-1979,M,07-08-2009,08-09-2017,,08-09-2017
44,DOC,Maniklal,Shah,22-08-1982,M,11-12-2017,,Present,Present
45,DOC,Kuldeep,Gupta,15-03-1979,M,07-01-2012,,Present,Present
46,DOC,Harsh,Sharma,01-11-1963,M,07-11-2018,,Present,Present
47,DOC,Raghu,Sinha,20-06-1980,M,07-10-2017,,Present,Present
48,DOC,Aarushi,Talwar,15-03-1961,F,09-12-2016,,Present,Present
49,DOC,Harshil,Mehta,01-08-1969,M,08-11-2009,,Present,Present
50,DOC,Hariprasad,Singhania,25-08-1972,M,11-05-2010,,Present,Present
51,NUR,Shivani,Malhotra,02-02-1961,F,11-12-2016,,Present,Present
52,NUR,Jhanvi,Joshi,26-02-1961,F,01-06-2018,,Present,Present
53,NUR,Kanika,Gupta,26-01-1965,F,04-06-2018,,Present,Present
54,NUR,Leela,Singhania,01-02-1984,F,04-01-2011,,Present,Present
55,NUR,Sita,Chokhani,03-11-1965,F,02-03-2018,,Present,Present
56,NUR,Raghunath,Bharani,02-07-1963,M,01-02-2013,,Present,Present
57,NUR,Vikas,Nair,27-12-1976,M,10-07-2015,,Present,Present
58,NUR,Gamita,Banerjee,15-02-1978,F,10-05-2015,,Present,Present
59,NUR,Naresh,Mehta,20-09-1960,M,12-02-2011,,Present,Present
60,NUR,Jhansi,Gandhi,27-10-1974,F,29-07-2018,,Present,Present
61,NUR,Parita,Thakkar,20-02-1962,F,01-10-2018,,Present,Present
62,NUR,Payal,Panara,10-09-1968,F,11-10-2015,,Present,Present
63,NUR,Dhwani,Shah,01-12-1972,F,04-01-2011,,Present,Present
64,NUR,Hiral,Adesara,20-08-1965,F,12-10-2010,,Present,Present
65,NUR,Kinjal,Patel,16-03-1975,F,08-06-2009,,Present,Present
66,NUR,Kajal,Singh,19-05-1984,F,10-09-2016,,Present,Present
67,NUR,Rajesh,Lahiri,02-07-1977,M,26-02-2018,,Present,Present
68,NUR,Saif,Khan,16-03-1980,M,12-06-2010,,Present,Present
69,NUR,Maitri,Manek,07-01-1974,F,02-07-2014,,Present,Present
70,NUR,Harshit,Agarwal,16-11-1972,M,12-06-2016,,Present,Present
71,NUR,Nisha,Nair,20-06-1961,F,05-02-2009,,Present,Present
72,NUR,Nidhi,Jha,17-01-1972,F,08-07-2009,,Present,Present
73,NUR,Harsha,Bhogle,25-09-1960,F,04-12-2003,15-04-2017,,15-04-2017
74,NUR,DHara,Sagar,28-12-1963,F,02-08-2013,,Present,Present
75,NUR,Jagruti,Pathak,11-04-1960,F,05-11-2001,16-05-2017,,16-05-2017
76,NUR,Leena,Maher,11-10-1960,F,04-11-2014,,Present,Present
77,NUR,Shyamlal,Dharokha,01-11-1969,M,03-01-2000,,Present,Present
78,NUR,Sheetal,Chaudhary,01-11-1976,F,09-01-2005,,Present,Present
79,NUR,Darshana,Chavda,27-07-1969,F,10-02-2008,,Present,Present
80,NUR,Deepali,Kumar,24-12-1962,F,21-04-2002,,Present,Present
81,NUR,Kiran,Patel,09-07-1963,M,01-09-2010,,Present,Present
82,NUR,Jodha,Patnaik,26-09-1975,F,09-02-2002,,Present,Present
83,NUR,Urvashi,Pratap,04-06-1979,F,06-04-2011,,Present,Present
84,NUR,Sejal,Rana,15-03-1984,F,08-05-2003,,Present,Present
85,NUR,Bhanu,Singh,08-10-1965,M,02-08-2004,,Present,Present
86,SEC,Jaggu,Dewan,14-07-1967,M,05-01-2007,,Present,Present
87,SEC,Babloo,Bhagwan,12-05-1973,M,06-12-2002,,Present,Present
88,SEC,Shantaram,Kumar,28-01-1976,M,12-08-2012,12-08-2018,,12-08-2018
89,SEC,Arun,Lathi,18-07-1984,M,01-01-2011,,Present,Present
90,SEC,Archit,Agarwal,10-04-1964,M,09-10-2009,,Present,Present
91,SEC,Deepak,Parekh,09-07-1964,M,06-09-2005,,Present,Present
92,SEC,Hari,Purohit,26-06-1960,M,04-02-2003,,Present,Present
93,SEC,Bhagya,Patil,14-11-1974,M,19-04-2000,,Present,Present
94,SEC,Narendra,Baghiya,27-09-1980,M,27-02-2002,,Present,Present
95,SEC,Raju,Bhola,12-09-1974,M,22-12-2010,,Present,Present
96,SEC,Bakul,Jani,23-11-1969,M,12-03-2002,,Present,Present
97,JAN,Maganlal,Charotra,19-11-1982,M,09-01-2004,,Present,Present
98,JAN,Ramlal,Patra,11-04-1982,M,01-11-2005,,Present,Present
99,JAN,Chaman,Sojitra,02-01-1966,M,09-02-2010,,Present,Present
100,JAN,Mohan,Lahiri,02-03-1961,M,08-02-2013,,Present,Present
101,JAN,Shyam,Gohel,14-06-1971,M,12-04-2008,,Present,Present
102,JAN,Darshit,Chavda,23-11-1961,M,05-03-2002,12-08-2018,,12-08-2018
103,JAN,Darshan,Bhagvat,20-10-1973,M,03-02-2004,,Present,Present
104,JAN,Parth,Panara,02-03-1981,M,02-02-2003,,Present,Present
105,JAN,Bhola,Raman,20-07-1984,M,12-02-2005,,Present,Present
106,JAN,Gagan,Vala,24-09-1970,M,11-04-2011,,Present,Present
107,JAN,Harsh,Devde,04-11-1976,M,06-04-2001,,Present,Present
108,JAN,Pavan,Garg,21-12-1976,M,04-10-2008,,Present,Present
109,JAN,Shaurya,Hingrajya,14-05-1968,M,09-09-2005,,Present,Present
110,JAN,Madhav,Sharma,17-06-1963,M,30-07-2008,,Present,Present
111,REC,Khushboo,Singh,27-02-1966,F,11-07-2000,,Present,Present
112,REC,Mallika,Pujara,10-01-1970,F,22-10-2000,,Present,Present
113,REC,Bhavna,Desai,09-06-1977,F,29-09-2000,28-02-2018,,28-02-2018
114,REC,Jarna,Gupta,05-07-1973,F,11-05-2000,,Present,Present
115,REC,Zeal,Vora,20-12-1983,F,08-12-2000,,Present,Present
116,DOC,Vyom,Sagar,27-12-1963,M,27-07-2016,,Present,Present
117,DOC,Shweta,Savaliya,24-10-1984,F,24-11-2012,,Present,Present
118,DOC,Gaurav,Shankar,06-02-1981,M,12-06-2013,,Present,Present
119,DOC,Ayaan,Mehta,16-11-1973,M,04-04-2002,,Present,Present
120,DOC,Arjun,Shakti,22-01-1962,M,09-09-2000,,Present,Present
121,DOC,Vihaan,Parmar,23-05-1951,M,01-10-2000,,Present,Present
122,DOC,Abhijit,Gosai,06-05-1964,M,10-06-2011,,Present,Present
123,DOC,Dhruv,Padaliya,11-02-1973,M,01-11-2009,,Present,Present
124,DOC,Krishna,Shukla,12-08-1963,M,08-12-2008,,Present,Present
125,DOC,Rudra,Shingala,21-12-1953,M,12-01-2015,,Present,Present
126,DOC,Samarth,Parikh,10-02-1968,M,11-10-2005,,Present,Present
127,DOC,Sania,Gosai,06-10-1980,F,07-06-2010,,Present,Present
128,DOC,Diya,Chotai,10-09-1963,F,07-10-2013,,Present,Present
129,DOC,Riya,Kapoor,21-07-1974,F,03-01-2012,,Present,Present
130,DOC,Devansh,Ruparelia,10-09-1954,M,05-10-2003,,Present,Present
131,DOC,Dhyey,Doshi,08-06-1972,M,02-08-2008,,Present,Present
132,DOC,Malti,Ghosh,02-06-1979,F,06-02-2012,,Present,Present
133,DOC,Jasbir,Das,03-03-1956,M,08-03-2013,,Present,Present
134,DOC,Gia,Joshi,05-10-1979,F,11-05-2000,07-06-2018,,07-06-2018
135,DOC,Hardik,Dasgupta,15-02-1963,M,01-12-2006,,Present,Present
136,DOC,Bharat,Nathwani,09-05-1976,M,05-09-2016,,Present,Present
137,DOC,Sarla,Bachchan,24-05-1981,F,06-04-2015,,Present,Present
138,DOC,Sheetal,Kasauli,27-04-1954,F,09-07-2016,,Present,Present
139,DOC,Roshan,Singh,12-02-1951,M,08-12-2001,,Present,Present
140,DOC,Raghubur,Patel,27-07-1950,M,01-02-2004,10-08-2017,,10-08-2017
141,DOC,Foram,Nathani,07-10-1981,F,04-07-2009,,Present,Present
142,DOC,Karan,Sanghvi,22-10-1973,M,11-02-2007,,Present,Present
143,DOC,Hitesh,Saxena,22-12-1972,M,10-02-2012,,Present,Present
144,DOC,Siddharth,Shastri,09-04-1979,M,05-09-2012,,Present,Present
145,DOC,Bhargav,Soni,06-08-1961,M,05-06-2009,,Present,Present
146,DOC,Mohammad,Hussein,11-02-1980,M,07-11-2010,,Present,Present
147,DOC,Fatima,Jalwani,17-04-1963,F,10-07-2005,,Present,Present
148,DOC,Pankti,Dholakia,13-04-1979,F,01-03-2008,,Present,Present
149,DOC,Abhishek,Banerjee,11-11-1980,M,07-11-2016,,Present,Present
150,DOC,Dhairya,Shah,20-07-1964,M,10-02-2001,,Present,Present
151,DOC,Sujaan,Chatterjee,18-12-1972,M,01-01-2007,,Present,Present
152,DOC,Omkar,Bhanushali,17-06-1951,M,05-07-2005,,Present,Present
153,DOC,Inder,Vala,17-08-1981,M,02-01-2000,,Present,Present
154,DOC,Harin,Popat,04-03-1977,M,07-04-2005,,Present,Present
155,DOC,Charmi,Ramanuj,13-05-1954,F,11-01-2013,,Present,Present
156,DOC,Gauri,Modi,09-03-1977,F,11-09-2007,,Present,Present
157,DOC,Faiz,Khan,13-01-1978,M,07-01-2015,,Present,Present
